Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 24298                49485                0                    12                   0.08492                                  1377                 1.03                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 7286                 13455                0                   
CPU1:
 Read Count           Write Count          Discard Count       
 17012                36030                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    535                  0                   
 1                    531                  0                   
 2                    515                  0                   
 3                    528                  0                   
 4                    501                  0                   
 5                    529                  0                   
 6                    0                    1                   
 7                    505                  0                   
 8                    538                  0                   
 9                    501                  0                   
 10                   512                  0                   
 11                   524                  0                   
 12                   522                  0                   
 13                   518                  0                   
 14                   505                  0                   
 15                   498                  0                   
 16                   517                  0                   
 17                   490                  0                   
 18                   510                  0                   
 19                   511                  0                   
 20                   514                  0                   
 21                   519                  0                   
 22                   523                  0                   
 23                   516                  0                   
 24                   0                    1                   
 25                   17                   1                   
 26                   118                  1                   
 27                   0                    1                   
 28                   0                    1                   
 29                   163                  1                   
 30                   0                    1                   
 31                   283                  1                   
 32                   0                    1                   
 33                   0                    1                   
 34                   0                    1                   
 35                   356                  0                   
 36                   852                  0                   
 37                   282                  0                   
 38                   0                    0                   
 39                   28                   0                   
