Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 24298                49485                0                    34                   0.03719                                  16325                1.33                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 7286                 13455                0                   
CPU1:
 Read Count           Write Count          Discard Count       
 17012                36030                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    0                    2                   
 1                    27                   2                   
 2                    153                  1                   
 3                    501                  1                   
 4                    294                  1                   
 5                    0                    2                   
 6                    340                  1                   
 7                    505                  0                   
 8                    0                    1                   
 9                    1                    1                   
 10                   0                    1                   
 11                   246                  2                   
 12                   0                    1                   
 13                   0                    1                   
 14                   505                  0                   
 15                   498                  0                   
 16                   0                    2                   
 17                   490                  0                   
 18                   510                  0                   
 19                   511                  0                   
 20                   0                    1                   
 21                   501                  1                   
 22                   276                  1                   
 23                   0                    2                   
 24                   0                    1                   
 25                   462                  1                   
 26                   0                    1                   
 27                   0                    1                   
 28                   0                    1                   
 29                   318                  1                   
 30                   0                    1                   
 31                   0                    1                   
 32                   5                    1                   
 33                   238                  1                   
