Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 24298                49485                0                    30                   0.03606                                  13511                1.27                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 7286                 13455                0                   
CPU1:
 Read Count           Write Count          Discard Count       
 17012                36030                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    433                  1                   
 1                    379                  1                   
 2                    535                  1                   
 3                    191                  1                   
 4                    988                  1                   
 5                    504                  1                   
 6                    0                    1                   
 7                    1011                 1                   
 8                    119                  1                   
 9                    408                  1                   
 10                   0                    1                   
 11                   0                    1                   
 12                   0                    1                   
 13                   1                    1                   
 14                   0                    1                   
 15                   0                    1                   
 16                   0                    1                   
 17                   0                    1                   
 18                   0                    1                   
 19                   0                    1                   
 20                   0                    1                   
 21                   0                    1                   
 22                   0                    1                   
 23                   0                    1                   
 24                   0                    1                   
 25                   0                    1                   
 26                   0                    1                   
 27                   0                    1                   
 28                   0                    1                   
 29                   0                    1                   
 30                   1024                 0                   
 31                   1024                 0                   
 32                   531                  0                   
 33                   515                  0                   
