Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 24298                49485                0                    50                   0.02519                                  33601                1.68                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 7286                 13455                0                   
CPU1:
 Read Count           Write Count          Discard Count       
 17012                36030                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    535                  0                   
 1                    531                  0                   
 2                    515                  0                   
 3                    528                  0                   
 4                    501                  0                   
 5                    529                  0                   
 6                    217                  1                   
 7                    505                  0                   
 8                    538                  0                   
 9                    501                  0                   
 10                   512                  0                   
 11                   524                  0                   
 12                   330                  1                   
 13                   0                    2                   
 14                   0                    4                   
 15                   0                    2                   
 16                   27                   5                   
 17                   0                    2                   
 18                   163                  2                   
 19                   0                    3                   
 20                   70                   1                   
 21                   0                    2                   
 22                   0                    3                   
 23                   0                    2                   
 24                   1                    2                   
 25                   0                    1                   
 26                   0                    2                   
 27                   164                  1                   
 28                   0                    2                   
 29                   186                  4                   
 30                   0                    3                   
 31                   179                  2                   
 32                   204                  2                   
 33                   13                   1                   
