Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 64977                197324               0                    115                  0.03231                                  69                   1.00                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 40999                103406               0                   
CPU1:
 Read Count           Write Count          Discard Count       
 23978                93918                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    508                  2                   
 1                    512                  2                   
 2                    493                  2                   
 3                    496                  2                   
 4                    495                  2                   
 5                    490                  2                   
 6                    514                  2                   
 7                    504                  2                   
 8                    1                    2                   
 9                    503                  2                   
 10                   516                  2                   
 11                   528                  2                   
 12                   520                  2                   
 13                   529                  2                   
 14                   431                  2                   
 15                   505                  2                   
 16                   0                    2                   
 17                   0                    2                   
 18                   0                    2                   
 19                   0                    2                   
 20                   0                    2                   
 21                   0                    2                   
 22                   0                    2                   
 23                   0                    2                   
 24                   0                    2                   
 25                   0                    2                   
 26                   0                    2                   
 27                   0                    2                   
 28                   0                    2                   
 29                   690                  1                   
 30                   0                    2                   
 31                   0                    2                   
 32                   0                    2                   
 33                   0                    2                   
 34                   1024                 1                   
 35                   0                    2                   
 36                   696                  1                   
 37                   488                  1                   
 38                   499                  1                   
 39                   494                  1                   
 40                   527                  1                   
 41                   515                  1                   
 42                   502                  1                   
 43                   510                  1                   
 44                   522                  1                   
 45                   503                  1                   
 46                   856                  1                   
 47                   1024                 1                   
 48                   532                  1                   
 49                   819                  1                   
 50                   733                  1                   
 51                   696                  1                   
 52                   659                  1                   
 53                   786                  1                   
 54                   701                  1                   
 55                   718                  1                   
 56                   722                  1                   
 57                   716                  1                   
 58                   740                  1                   
 59                   741                  1                   
 60                   716                  1                   
 61                   647                  1                   
 62                   705                  1                   
 63                   466                  1                   
 64                   680                  1                   
 65                   524                  1                   
 66                   536                  1                   
 67                   507                  1                   
 68                   532                  1                   
 69                   508                  1                   
 70                   503                  1                   
 71                   547                  1                   
 72                   542                  1                   
 73                   535                  1                   
 74                   498                  1                   
 75                   530                  1                   
 76                   524                  1                   
 77                   513                  1                   
 78                   503                  1                   
 79                   523                  1                   
 80                   516                  1                   
