Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 64977                197324               0                    179                  0.02265                                  52685                1.27                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 40999                103406               0                   
CPU1:
 Read Count           Write Count          Discard Count       
 23978                93918                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    516                  3                   
 1                    0                    3                   
 2                    504                  3                   
 3                    504                  3                   
 4                    505                  3                   
 5                    5                    3                   
 6                    495                  3                   
 7                    0                    3                   
 8                    0                    3                   
 9                    495                  3                   
 10                   516                  3                   
 11                   476                  3                   
 12                   512                  3                   
 13                   505                  3                   
 14                   41                   3                   
 15                   0                    3                   
 16                   513                  3                   
 17                   515                  3                   
 18                   531                  3                   
 19                   513                  3                   
 20                   529                  3                   
 21                   0                    3                   
 22                   329                  3                   
 23                   0                    3                   
 24                   0                    3                   
 25                   0                    3                   
 26                   0                    3                   
 27                   0                    3                   
 28                   0                    3                   
 29                   0                    3                   
 30                   0                    3                   
 31                   0                    3                   
 32                   0                    3                   
 33                   0                    3                   
 34                   0                    3                   
 35                   0                    3                   
 36                   0                    3                   
 37                   0                    3                   
 38                   0                    3                   
 39                   1                    3                   
 40                   826                  2                   
 41                   0                    3                   
 42                   0                    3                   
 43                   695                  2                   
 44                   0                    3                   
 45                   545                  2                   
 46                   624                  2                   
 47                   519                  2                   
 48                   0                    2                   
 49                   1024                 2                   
 50                   517                  2                   
 51                   522                  2                   
 52                   505                  2                   
 53                   1024                 2                   
 54                   519                  2                   
 55                   536                  2                   
 56                   534                  2                   
 57                   1016                 2                   
 58                   539                  2                   
 59                   506                  2                   
 60                   533                  2                   
 61                   1024                 2                   
 62                   520                  2                   
 63                   515                  2                   
 64                   497                  2                   
 65                   989                  2                   
 66                   520                  2                   
 67                   539                  2                   
