Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 64977                197324               0                    345                  0.01886                                  223114               2.13                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 40999                103406               0                   
CPU1:
 Read Count           Write Count          Discard Count       
 23978                93918                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    1024                 0                   
 1                    1024                 0                   
 2                    1024                 0                   
 3                    1024                 0                   
 4                    1024                 0                   
 5                    1024                 0                   
 6                    1024                 0                   
 7                    1024                 0                   
 8                    281                  7                   
 9                    1024                 0                   
 10                   1024                 0                   
 11                   1024                 0                   
 12                   1024                 0                   
 13                   1024                 0                   
 14                   1024                 0                   
 15                   1024                 0                   
 16                   1024                 0                   
 17                   1024                 0                   
 18                   162                  8                   
 19                   173                  6                   
 20                   226                  3                   
 21                   0                    7                   
 22                   255                  7                   
 23                   308                  6                   
 24                   33                   8                   
 25                   0                    7                   
 26                   189                  7                   
 27                   265                  10                  
 28                   0                    8                   
 29                   0                    6                   
 30                   0                    5                   
 31                   263                  7                   
 32                   251                  10                  
 33                   278                  8                   
 34                   237                  7                   
 35                   91                   8                   
 36                   0                    9                   
 37                   197                  6                   
 38                   151                  6                   
 39                   1                    11                  
 40                   223                  7                   
 41                   0                    7                   
 42                   229                  6                   
 43                   286                  7                   
 44                   0                    8                   
 45                   142                  8                   
 46                   50                   8                   
 47                   0                    9                   
 48                   116                  8                   
 49                   0                    8                   
 50                   0                    6                   
 51                   272                  5                   
 52                   0                    6                   
 53                   0                    5                   
 54                   288                  6                   
 55                   152                  6                   
 56                   169                  6                   
 57                   0                    4                   
 58                   270                  5                   
 59                   87                   6                   
 60                   0                    6                   
 61                   220                  5                   
 62                   288                  6                   
 63                   20                   6                   
 64                   273                  7                   
 65                   56                   4                   
 66                   80                   6                   
 67                   48                   7                   
