Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 64977                197324               0                    179                  0.02770                                  52144                1.26                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 40999                103406               0                   
CPU1:
 Read Count           Write Count          Discard Count       
 23978                93918                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    1024                 0                   
 1                    1024                 0                   
 2                    1024                 0                   
 3                    1024                 0                   
 4                    1024                 0                   
 5                    0                    3                   
 6                    0                    3                   
 7                    494                  3                   
 8                    0                    3                   
 9                    190                  3                   
 10                   573                  2                   
 11                   1                    3                   
 12                   0                    3                   
 13                   0                    3                   
 14                   512                  4                   
 15                   0                    5                   
 16                   186                  3                   
 17                   0                    4                   
 18                   489                  3                   
 19                   0                    3                   
 20                   494                  3                   
 21                   0                    3                   
 22                   0                    4                   
 23                   408                  3                   
 24                   495                  2                   
 25                   523                  3                   
 26                   117                  3                   
 27                   495                  2                   
 28                   450                  3                   
 29                   535                  3                   
 30                   0                    4                   
 31                   508                  3                   
 32                   0                    3                   
 33                   507                  4                   
 34                   0                    3                   
 35                   0                    3                   
 36                   0                    3                   
 37                   0                    3                   
 38                   502                  3                   
 39                   512                  3                   
 40                   500                  2                   
 41                   504                  2                   
 42                   516                  3                   
 43                   486                  2                   
 44                   531                  3                   
 45                   536                  3                   
 46                   497                  3                   
 47                   284                  4                   
 48                   501                  2                   
 49                   530                  3                   
 50                   0                    3                   
 51                   534                  3                   
 52                   537                  2                   
 53                   558                  2                   
 54                   144                  2                   
 55                   0                    3                   
 56                   529                  2                   
 57                   502                  2                   
 58                   510                  2                   
 59                   0                    4                   
 60                   42                   3                   
 61                   518                  1                   
 62                   35                   3                   
 63                   523                  1                   
 64                   91                   3                   
 65                   0                    3                   
 66                   533                  2                   
 67                   0                    2                   
