Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 0                    14606                0                    7                    0.05442                                  0                    1.00                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 0                    14606                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    1024                 0                   
 1                    1024                 1                   
 2                    270                  1                   
 3                    0                    1                   
 4                    0                    1                   
 5                    0                    1                   
 6                    1024                 0                   
 7                    0                    1                   
 8                    0                    1                   
