Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 0                    14606                0                    7                    0.05398                                  0                    1.00                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 0                    14606                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    1024                 1                   
 1                    270                  1                   
 2                    0                    1                   
 3                    0                    1                   
 4                    0                    1                   
 5                    0                    1                   
 6                    0                    1                   
 7                    1024                 0                   
 8                    1024                 0                   
