Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 64977                197324               0                    114                  0.03781                                  0                    1.00                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 40999                103406               0                   
CPU1:
 Read Count           Write Count          Discard Count       
 23978                93918                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    525                  2                   
 1                    533                  2                   
 2                    508                  2                   
 3                    517                  2                   
 4                    508                  2                   
 5                    499                  2                   
 6                    489                  2                   
 7                    495                  2                   
 8                    1000                 0                   
 9                    489                  2                   
 10                   519                  2                   
 11                   501                  2                   
 12                   505                  2                   
 13                   513                  2                   
 14                   523                  2                   
 15                   529                  2                   
 16                   523                  2                   
 17                   509                  2                   
 18                   419                  2                   
 19                   0                    2                   
 20                   1007                 1                   
 21                   0                    2                   
 22                   0                    2                   
 23                   0                    2                   
 24                   0                    2                   
 25                   0                    2                   
 26                   0                    2                   
 27                   0                    2                   
 28                   0                    2                   
 29                   707                  1                   
 30                   0                    2                   
 31                   0                    2                   
 32                   0                    2                   
 33                   0                    2                   
 34                   0                    2                   
 35                   1                    2                   
 36                   0                    2                   
 37                   696                  1                   
 38                   499                  1                   
 39                   488                  1                   
 40                   494                  1                   
 41                   515                  1                   
 42                   502                  1                   
 43                   510                  1                   
 44                   522                  1                   
 45                   503                  1                   
 46                   527                  1                   
 47                   856                  1                   
 48                   996                  0                   
 49                   511                  2                   
 50                   819                  1                   
 51                   733                  1                   
 52                   696                  1                   
 53                   786                  1                   
 54                   657                  1                   
 55                   701                  1                   
 56                   719                  1                   
 57                   722                  1                   
 58                   713                  1                   
 59                   740                  1                   
 60                   741                  1                   
 61                   716                  1                   
 62                   647                  1                   
 63                   710                  1                   
 64                   466                  1                   
 65                   674                  1                   
 66                   521                  1                   
 67                   540                  1                   
 68                   506                  1                   
 69                   532                  1                   
 70                   503                  1                   
 71                   541                  1                   
 72                   548                  1                   
 73                   532                  1                   
 74                   497                  1                   
 75                   532                  1                   
 76                   521                  1                   
 77                   517                  1                   
 78                   500                  1                   
 79                   0                    1                   
 80                   0                    1                   
