Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 64977                197324               0                    142                  0.03332                                  15050                1.08                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 40999                103406               0                   
CPU1:
 Read Count           Write Count          Discard Count       
 23978                93918                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    0                    3                   
 1                    1                    3                   
 2                    526                  2                   
 3                    527                  2                   
 4                    547                  2                   
 5                    535                  2                   
 6                    505                  2                   
 7                    522                  2                   
 8                    526                  2                   
 9                    540                  2                   
 10                   507                  2                   
 11                   504                  2                   
 12                   526                  2                   
 13                   521                  2                   
 14                   524                  2                   
 15                   0                    3                   
 16                   0                    3                   
 17                   500                  2                   
 18                   0                    3                   
 19                   534                  2                   
 20                   0                    3                   
 21                   485                  2                   
 22                   503                  2                   
 23                   496                  2                   
 24                   493                  2                   
 25                   495                  2                   
 26                   524                  2                   
 27                   489                  2                   
 28                   514                  2                   
 29                   528                  2                   
 30                   499                  2                   
 31                   13                   3                   
 32                   0                    3                   
 33                   0                    3                   
 34                   492                  2                   
 35                   0                    3                   
 36                   0                    3                   
 37                   0                    3                   
 38                   665                  2                   
 39                   0                    3                   
 40                   531                  2                   
 41                   0                    3                   
 42                   0                    3                   
 43                   0                    3                   
 44                   529                  2                   
 45                   0                    3                   
 46                   0                    3                   
 47                   527                  2                   
 48                   673                  1                   
 49                   521                  2                   
 50                   110                  2                   
 51                   0                    2                   
 52                   0                    2                   
 53                   0                    2                   
 54                   494                  1                   
 55                   492                  1                   
 56                   481                  1                   
 57                   525                  1                   
 58                   505                  1                   
 59                   506                  1                   
 60                   508                  1                   
 61                   521                  1                   
 62                   533                  1                   
 63                   663                  1                   
 64                   469                  2                   
 65                   514                  2                   
 66                   703                  1                   
 67                   0                    2                   
