Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 64977                197324               0                    236                  0.02155                                  111475               1.56                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 40999                103406               0                   
CPU1:
 Read Count           Write Count          Discard Count       
 23978                93918                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    1024                 0                   
 1                    1024                 0                   
 2                    1024                 0                   
 3                    1024                 0                   
 4                    1024                 0                   
 5                    1024                 0                   
 6                    1024                 0                   
 7                    1024                 0                   
 8                    0                    5                   
 9                    1024                 0                   
 10                   1024                 0                   
 11                   1024                 0                   
 12                   1024                 0                   
 13                   1024                 0                   
 14                   132                  6                   
 15                   0                    4                   
 16                   283                  4                   
 17                   497                  3                   
 18                   361                  4                   
 19                   199                  4                   
 20                   510                  3                   
 21                   483                  4                   
 22                   0                    5                   
 23                   519                  4                   
 24                   365                  3                   
 25                   0                    6                   
 26                   105                  5                   
 27                   344                  4                   
 28                   0                    5                   
 29                   1                    7                   
 30                   199                  5                   
 31                   3                    5                   
 32                   534                  5                   
 33                   128                  5                   
 34                   44                   4                   
 35                   272                  3                   
 36                   225                  5                   
 37                   299                  5                   
 38                   188                  4                   
 39                   0                    6                   
 40                   0                    3                   
 41                   0                    5                   
 42                   521                  4                   
 43                   0                    5                   
 44                   87                   6                   
 45                   0                    5                   
 46                   157                  6                   
 47                   161                  5                   
 48                   86                   4                   
 49                   132                  3                   
 50                   0                    4                   
 51                   517                  2                   
 52                   0                    4                   
 53                   492                  3                   
 54                   329                  4                   
 55                   411                  3                   
 56                   0                    4                   
 57                   378                  3                   
 58                   221                  4                   
 59                   186                  5                   
 60                   0                    4                   
 61                   147                  4                   
 62                   111                  4                   
 63                   520                  4                   
 64                   0                    5                   
 65                   0                    3                   
 66                   9                    4                   
 67                   547                  3                   
