Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 64977                197324               0                    208                  0.02626                                  82490                1.42                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 40999                103406               0                   
CPU1:
 Read Count           Write Count          Discard Count       
 23978                93918                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    1024                 0                   
 1                    1024                 0                   
 2                    1024                 0                   
 3                    1024                 0                   
 4                    1024                 0                   
 5                    1024                 0                   
 6                    1024                 0                   
 7                    1024                 0                   
 8                    513                  3                   
 9                    1024                 0                   
 10                   11                   4                   
 11                   495                  3                   
 12                   0                    4                   
 13                   77                   5                   
 14                   518                  4                   
 15                   0                    4                   
 16                   169                  5                   
 17                   507                  4                   
 18                   0                    4                   
 19                   514                  3                   
 20                   502                  4                   
 21                   0                    5                   
 22                   538                  3                   
 23                   0                    4                   
 24                   2                    3                   
 25                   135                  4                   
 26                   0                    4                   
 27                   510                  4                   
 28                   0                    4                   
 29                   516                  3                   
 30                   526                  3                   
 31                   0                    3                   
 32                   518                  5                   
 33                   523                  4                   
 34                   0                    5                   
 35                   0                    5                   
 36                   521                  4                   
 37                   0                    4                   
 38                   515                  4                   
 39                   205                  3                   
 40                   0                    4                   
 41                   502                  4                   
 42                   33                   5                   
 43                   0                    3                   
 44                   337                  3                   
 45                   491                  2                   
 46                   177                  4                   
 47                   0                    4                   
 48                   490                  3                   
 49                   547                  3                   
 50                   527                  2                   
 51                   520                  3                   
 52                   69                   4                   
 53                   0                    3                   
 54                   223                  2                   
 55                   0                    4                   
 56                   0                    3                   
 57                   505                  2                   
 58                   0                    3                   
 59                   528                  3                   
 60                   56                   3                   
 61                   264                  2                   
 62                   502                  3                   
 63                   1                    4                   
 64                   486                  3                   
 65                   191                  3                   
 66                   222                  3                   
 67                   0                    2                   
