Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 0                    14697                0                    15                   0.02551                                  8428                 1.57                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 0                    14697                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    312                  2                   
 1                    11                   2                   
 2                    434                  1                   
 3                    0                    2                   
 4                    0                    2                   
 5                    22                   2                   
 6                    36                   2                   
 7                    23                   1                   
 8                    233                  1                   
