Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 0                    14615                0                    9                    0.04002                                  2116                 1.14                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 0                    14615                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    2045                 1                   
 1                    259                  1                   
 2                    7                    1                   
 3                    219                  1                   
 4                    210                  1                   
 5                    83                   1                   
 6                    0                    1                   
 7                    0                    1                   
 8                    130                  0                   
