Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 0                    14606                0                    6414                 0.00914                                  6561522              450.23                                  
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 0                    14606                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    1024                 0                   
 1                    1024                 0                   
 2                    1024                 0                   
 3                    1024                 0                   
 4                    0                    1062                
 5                    0                    2508                
 6                    0                    1023                
 7                    0                    200                 
 8                    0                    1621                
