Total Stats
 Read Count           Write Count          Discard Count        GC Count             GC Average Runtime(ms)                   Copyback Count       Write Amplification Factor              
 0                    14615                0                    9                    0.04821                                  2481                 1.17                                    
Stats By CPU
CPU0:
 Read Count           Write Count          Discard Count       
 0                    14615                0                   
Block Stats
 Block Number         Invalid Count        Erase Count         
 0                    1023                 0                   
 1                    1024                 0                   
 2                    1024                 0                   
 3                    0                    2                   
 4                    384                  1                   
 5                    108                  1                   
 6                    216                  1                   
 7                    0                    3                   
 8                    0                    1                   
